id,product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty,wishlistCount,market_price,lenskart_price,offerName,subCollection,subCollectionId
209342,https://www.lenskart.com/vincent-chase-lk-s15738-c3-sunglasses.html,Gold,Medium,140 mm,Vincent Chase,VC S15738,sunglasses,2061,0.0,1,0,2000,2000,VCSUN,AERODYNAMICS,26583.0
209759,https://www.lenskart.com/lenskart-air-la-e15847-c2-eyeglasses.html,Yellow,Wide,138 mm,Lenskart Air,LA E15847,eyeframe,2092,0.0,97,0,1700,1700,VCEYE,Matte Essential,26751.0
210472,https://www.lenskart.com/vincent-chase-vc-e15969-c1-eyeglasses.html,Blue,Medium,135 mm,Vincent Chase,VC E15969,eyeframe,2277,0.0,1,0,1700,1700,VCEYE,Refreshers 1_Aug_23,27081.0
211342,https://www.lenskart.com/vincent-chase-vc-s16144-c4-sunglasses.html,Brown,Wide,144 mm,Vincent Chase Polarized,VC S16144,sunglasses,653,0.0,723,0,1500,1500,VCSUN,HOLIDAY EDIT,27232.0
213225,https://www.lenskart.com/vincent-chase-vc-s16532-c3-sunglasses.html,Gunmetal,Wide,142 mm,Vincent Chase Polarized,VC S16532,sunglasses,101,0.0,1418,0,1500,1500,VCSUN,Fashion Essentials 2.0,27721.0
146627,https://www.lenskart.com/vincent-chase-vc-s13128-c4-sunglasses.html,Gold,Medium,139 mm,Vincent Chase Polarized,VC S13128,sunglasses,10135,4.55,1069,5198,2000,2000,VCSUN,The Metal Edit,26621.0
146799,https://www.lenskart.com/john-jacobs-jj-e13793-c2-eyeglasses.html,Pink,Extra Wide,142 mm,John Jacobs,JJ E13793,eyeframe,3342,4.5,389,427,3500,3500,JJBOGO,Rich Acetate,26361.0
147169,https://www.lenskart.com/john-jacobs-jj-e12712-c4-c4-eyeglasses.html,Silver,Medium,135 mm,John Jacobs,JJ E12712,eyeframe,1349,4.25,1245,510,5000,5000,JJEYE,Supreme Steel,26271.0
148041,https://www.lenskart.com/vincent-chase-vc-s13973-c3-sunglasses.html,Brown,Wide,145 mm,Vincent Chase Polarized,VC S13973,sunglasses,5294,4.7,2970,499,2000,2000,VCSUN,Style Cast (PC),26623.0
148310,https://www.lenskart.com/john-jacobs-jj-e11727xs-c1-eyeglasses.html,Brown,Extra Narrow,126 mm,John Jacobs Online,JJ E11727XS,eyeframe,4196,4.8,668,54,3500,3500,JJBOGO,Rich Acetate,26361.0
148518,https://www.lenskart.com/vincent-chase-vc-e14037af-c1-eyeglasses.html,Red,Medium,136 mm,Vincent Chase,VC E14037AF,eyeframe,448,5.0,29,4,1700,1700,VCEYE,,
148601,https://www.lenskart.com/lenskart-blu-lb-e13533-c4-eyeglasses.html,Green,Wide,138 mm,Lenskart Blu,L BE13533,non_power_reading,16569,4.65,560,7354,2000,2000,LKBLUCE,,
204472,https://www.lenskart.com/vincent-chase-vc-e14912-c2-eyeglasses.html,Tortoise,Wide,141 mm,Vincent Chase Online,VC E14912,eyeframe,2285,5.0,967,0,1700,1700,VCEYE,Series A,25040.0
206265,https://www.lenskart.com/vincent-chase-vc-e15346-c3-eyeglasses.html,Gold Black,Medium,135 mm,Vincent Chase,VC E15346,eyeframe,3153,0.0,3,0,1700,1700,VCEYE,Brow Bars,26083.0
213244,https://www.lenskart.com/vincent-chase-vc-s16541-c2-sunglasses.html,Gold,Medium,139 mm,Vincent Chase Polarized,VC S16541,sunglasses,97,0.0,1261,0,1500,1500,VCSUN,Fashion Essentials 2.0,27721.0
140640,https://www.lenskart.com/john-jacobs-jj-e13315-c3-eyeglasses.html,Brown,Narrow,133 mm,John Jacobs Online,JJ E13315,eyeframe,2725,3.4,838,889,3500,3500,JJBOGO,Rich Acetate,26361.0
148205,https://www.lenskart.com/john-jacobs-john-jacobs-jj-s13987-full-rim-c3-sunglasses.html,Brown,Wide,141 mm,John Jacobs,JJ S13987,sunglasses,932,5.0,327,29,3500,3500,JJEYE,JJ Tints,26651.0
148317,https://www.lenskart.com/john-jacobs-jj-e12543xs-c2-eyeglasses.html,Blue,Extra Narrow,126 mm,John Jacobs,JJ E12543XS,eyeframe,2655,4.4,960,210,3500,3500,JJBOGO,Rich Acetate,26361.0
152557,https://www.lenskart.com/hooper-hp-s10112-c2-sunglasses.html,Blue,8-12 yrs,139 mm,Hooper,HP S10112,sunglasses,2510,4.3,11,0,1000,1000,HOOPERSUN,Hooper Sunnies,26114.0
200314,https://www.lenskart.com/hooper-hp-s10119m-c4-sunglasses.html,Transparent,5-8 yrs,120 mm,Hooper,HP S10119M,sunglasses,2094,5.0,97,0,1000,1000,HOOPERSUN,Hooper Sunnies,26114.0
201421,https://www.lenskart.com/john-jacobs-jj-e13551-c4-eyeglasses.html,Silver,Wide,139 mm,John Jacobs,JJ E13551,eyeframe,1914,5.0,751,0,3500,3500,JJEYE,Supreme Steel,26271.0
208720,https://www.lenskart.com/hooper-hp-e15691-c2-eyeglasses.html,Purple,8-12 yrs,128 mm,Hooper,HP E15691L,eyeframe,1068,0.0,238,0,1000,1000,HOOPEREYE,Unicorn,26454.0
210929,https://www.lenskart.com/lenskart-blu-lb-e16056-c1-eyeglasses.html,Pink,Narrow,133 mm,Lenskart Blu,LB E16056,non_power_reading,671,0.0,391,0,2000,2000,LKBLUCE,,
215283,https://www.lenskart.com/john-jacobs-jj-s11766-c6-sunglasses.html,Black,Medium,136 mm,John Jacobs,JJ S11766,sunglasses,415,0.0,84,0,5000,5000,JJSUN,JJ Tints,26651.0
147033,https://www.lenskart.com/vincent-chase-vc-s13833-c2-suglasses.html,Grey,Wide,145 mm,Vincent Chase,VC S13833,sunglasses,4512,4.5,1036,2462,2000,2000,VCSUN,Style Cast (PC),26623.0
