product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty
https://www.lenskart.com/vincent-chase-vc-s15768-c1-sunglasses.html,Gold,Extra Wide,148 mm,Vincent Chase Polarized,VC S15768,sunglasses,2763,0.0,18
https://www.lenskart.com/vincent-chase-vc-s16530-c1-sunglasses.html,Gold,Narrow,132 mm,Vincent Chase,VC S16530,sunglasses,515,0.0,817
https://www.lenskart.com/lenskart-air-la-e11483-l-c3-eyeglasses.html,Blue,Wide,138 mm,Lenskart Air Online,LA E11483-L,eyeframe,4913,4.7,132
https://www.lenskart.com/vincent-chase-vc-e11803-c14-eyeglasses.html,Pink,Narrow,131 mm,Vincent Chase,VC E11803,eyeframe,1671,0.0,317
https://www.lenskart.com/john-jacobs-jj-e11723-c3-eyeglasses.html,Transparent,Medium,134 mm,John Jacobs,JJ E11723,eyeframe,11639,4.45,761
https://www.lenskart.com/john-jacobs-full-rim-rectangle-jj-e10005-c10-eyeglasses.html,Black,Medium,134 mm,John Jacobs,JJ E10005,eyeframe,20739,4.2,63
https://www.lenskart.com/john-jacobs-jj-e13772-c1-eyeglasses.html,Black,Wide,138 mm,John Jacobs,JJ E13772,eyeframe,11412,4.45,529
https://www.lenskart.com/john-jacobs-jj-s15573-c1-sunglasses.html,Black,Medium,135 mm,John Jacobs,JJ S15573,sunglasses,2560,3.0,509
https://www.lenskart.com/air-optix-plus-hydraglyde-contact-lens-6-lens-box.html,,,,Alcon Air Optix,Alcon Air Optix Plus Monthly Disposable 10Hrs,contact_lens,7165,5.0,49980
https://www.lenskart.com/vincent-chase-vc-s15868-c3-sunglasses.html,Silver,Medium,140 mm,Vincent Chase Polarized,VC S15868,sunglasses,1858,0.0,281
https://www.lenskart.com/lenskart-air-la-e15323-c2-eyeglasses.html,Black,Medium,134 mm,Lenskart Air,LA E15323,eyeframe,5513,3.0,2210
https://www.lenskart.com/vincent-chase-vc-e16650-c1-eyeglasses.html,Green,Wide,138 mm,Vincent Chase,VC E16650,eyeframe,489,0.0,1409
https://www.lenskart.com/john-jacobs-jj-e13003-c1-eyeglasses.html,Blue,Medium,134 mm,John Jacobs,JJ E13003,eyeframe,12659,4.1,144
https://www.lenskart.com/lenskart-blu-lb-e14284-c4-eyeglasses.html,Grey Transparent,Wide,138 mm,Lenskart Blu,LB E14284,non_power_reading,2246,4.4,570
https://www.lenskart.com/aquacolor-premium-gray-contact-lenses-2-lens-box.html,,,,Aquacolor Premium,Aquacolor Premium Gray Zero Power Monthly,contact_lens,17014,4.75,49982
https://www.lenskart.com/john-jacobs-jj-e16114-c1-eyeglasses.html,Brown,Wide,139 mm,John Jacobs,JJ E16114,eyeframe,1391,0.0,332
https://www.lenskart.com/john-jacobs-jj-s13313-c3-sunglasses.html,Pink,Wide,139 mm,John Jacobs,JJ S13313,sunglasses,8598,4.8,152
https://www.lenskart.com/lenskart-lk-s-16250-c2-sunglasses.html,Black,8-12 yrs,131 mm,Hooper,LK S16250,sunglasses,1663,0.0,221
https://www.lenskart.com/vincent-chase-vc-s14505-c5-sunglasses.html,Silver,Medium,136 mm,Vincent Chase Polarized,VC S14505,sunglasses,12191,5.0,7204
https://www.lenskart.com/vincent-chase-vc-s15373-c1-sunglasses.html,Black,Medium,137 mm,Vincent Chase Polarized,VC S15373,sunglasses,7620,4.5,2997
https://www.lenskart.com/vincent-chase-vc-e15545-c3-eyeglasses.html,Black,Wide,138 mm,Vincent Chase Online,VC E15545,eyeframe,2118,0.0,356
https://www.lenskart.com/aquacolor-premium-turquoise-color-contact-lenses-1-lens-box.html,,,,Aquacolor,Aquacolor Premium Tricky Turquoise Powered Monthly,contact_lens,11924,4.25,49986
https://www.lenskart.com/lenskart-air-la-e14021-c1-eyeglasses.html,Black,Medium,134 mm,Lenskart Air,LA E14021,eyeframe,9616,4.8,281
https://www.lenskart.com/aquacolor-envy-green-daily-disposable-color-contact-lens-10-lens-box-plano.html,,,,Aquacolor,Aquacolor Envy Green Zero Power Daily,contact_lens,11153,4.65,49995
https://www.lenskart.com/lenskart-air-la-e-10592-s-c1-eyeglasses.html,Black,Narrow,132 mm,Lenskart Air,LA E10592-S,eyeframe,18265,4.7,4189
https://www.lenskart.com/freshlook-colorblends-honey-color-lenses-2-lens-per-box-alcon.html,,,,Alcon Freshlook,Alcon Freshlook Honey Powered Bi-Weekly,contact_lens,19429,3.9,49995
https://www.lenskart.com/aquacolor-premium-silver-gray-contact-lenses-2-lens-box.html,,,,Aquacolor Premium,Aquacolor Premium Silver Gray Zero Power Monthly,contact_lens,18703,4.75,49942
https://www.lenskart.com/lenskart-air-la-e15019-c4-eyeglasses.html,Blue,Medium,137 mm,Lenskart Air,LA E15019,eyeframe,4696,0.0,989
https://www.lenskart.com/vincent-chase-vc-e13527-c3-eyeglasses.html,Grey,Medium,136 mm,Lenskart Blu,LB E13527,non_power_reading,10279,4.45,983
https://www.lenskart.com/lenskart-air-la-e16242-c2-eyeglasses.html,Brown,Medium,134 mm,Lenskart Air,LA E16242,eyeframe,1051,0.0,842
https://www.lenskart.com/lenskart-hustlr-hp-e15011l-c2-eyeglasses.html,Midnight Blue,Extra Narrow,125 mm,Lenskart Hustlr,HP E15011,eyeframe,8453,4.6,1359
https://www.lenskart.com/john-jacobs-jj-e15826-c2-eyeglasses.html,Silver,Narrow,133 mm,John Jacobs,JJ E15826,eyeframe,2280,0.0,341
https://www.lenskart.com/lenskart-air-la-e16647-c3-eyeglasses.html,Tortoise,Medium,134 mm,Lenskart Air,LA E16647,eyeframe,1122,0.0,1716
https://www.lenskart.com/silver-black-full-rim-square-john-jacobs-jj-tints-jj-s13145-c1-polarized-sunglasses.html,Silver,Medium,137 mm,John Jacobs,JJ S13145,sunglasses,14410,4.65,1225
https://www.lenskart.com/john-jacobs-jj-e14685-c5-eyeglasses.html,Gunmetal,Medium,134 mm,John Jacobs,JJ E14685,eyeframe,3547,5.0,390
https://www.lenskart.com/lenskart-blu-lb-e14452-c2-eyeglasses.html,Transparent,Wide,139 mm,Lenskart Blu,LB E14452,non_power_reading,8847,4.55,495
https://www.lenskart.com/john-jacobs-jj-s13081-c1-sunglasses.html,Grey,Wide,140 mm,John Jacobs,JJ S13081,sunglasses,6924,4.8,433
https://www.lenskart.com/hooper-hp-e15012m-c1-eyeglasses.html,Black,5-8 yrs,123 mm,Hooper,HP E15012M,eyeframe,4146,0.0,2527
https://www.lenskart.com/vincent-chase-vc-s15373-c2-sunglasses.html,Gunmetal,Medium,137 mm,Vincent Chase Polarized,VC S15373,sunglasses,7230,4.5,1715
https://www.lenskart.com/lenskart-air-la-e16155-c3-eyeglasses.html,Green,Medium,137 mm,Lenskart Air,LA E16155,eyeframe,1830,0.0,290
