id,product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty,wishlistCount,market_price,lenskart_price
200672,https://www.lenskart.com/hooper-hp-e14854m-c1-eyeglasses.html,Blue,5-8 yrs,123 mm,Hooper Switch,HP E14854M,eyeframe,1241,0.0,280,0,1500,1500
211033,https://www.lenskart.com/hooper-hp-e16079-c1-eyeglasses.html,Pink,2-5 yrs,114 mm,Hooper,HP E16079,eyeframe,508,0.0,691,0,1000,1000
118350,https://www.lenskart.com/grey-brown-full-rim-round-small-size-49-john-jacobs-bond-street-jj-e10334-c4-eyeglasses.html,Black,Narrow,132 mm,John Jacobs Online,JJ E10334,eyeframe,15557,4.45,1574,5323,3500,3500
147903,https://www.lenskart.com/john-jacobs-jj-s12474-full-rim-c11-sunglasses.html,Gold,Medium,137 mm,John Jacobs,JJ S12474,sunglasses,4036,4.5,136,284,6000,6000
201378,https://www.lenskart.com/john-jacobs-jj-e11454-c4-eyeglasses.html,Gold,Wide,141 mm,John Jacobs,JJ E11454,eyeframe,2371,4.5,195,0,5000,5000
211913,https://www.lenskart.com/lenskart-blu-lb-e16226-c1-eyeglasses.html,Transparent,Wide,141 mm,Lenskart Blu,LB E16226,non_power_reading,306,4.0,1178,0,2000,2000
148159,https://www.lenskart.com/vincent-chase-vc-s13984-c3-sunglasses.html,Gold,Narrow,133 mm,Vincent Chase,VC S13984,sunglasses,5662,4.7,971,1824,2000,2000
207492,https://www.lenskart.com/lenskart-blu-lb-e14060-c18-eyeglasses.html.html,Orange,Medium,137 mm,Lenskart Blu,LB E14060,non_power_reading,699,4.65,443,0,1500,1500
210482,https://www.lenskart.com/hooper-hp-e10015l-c4-eyeglasses.html,White,5-8 yrs,123 mm,Hooper,HP E10015L,eyeframe,1604,0.0,24,0,2000,1000
212976,https://www.lenskart.com/lenskart-hustlr-lb-e14058-h-c3-eyeglasses.html,Jade Green,Narrow,134 mm,Lenskart Hustlr,LB E14058-N,non_power_reading,1046,0.0,284,0,1700,1700
214482,https://www.lenskart.com/vincent-chase-vc-e14037-c5-eyeglasses.html,Black,Medium,136 mm,Vincent Chase,VC E14037,eyeframe,160,0.0,2709,0,1700,1700
138426,https://www.lenskart.com/vincent-chase-vc-s13119-c4-sunglasses.html,Gold,Medium,138 mm,Vincent Chase Polarized,VC S13119,sunglasses,10663,4.65,4620,11804,2000,2000
146244,https://www.lenskart.com/john-jacobs-jj-e13727-full-rim-c1-eyeglasses.html,Silver,Medium,136 mm,John Jacobs,JJ E13727,eyeframe,4339,4.8,444,1808,3500,3500
204433,https://www.lenskart.com/vincent-chase-vc-e15066-c3-eyeglasses.html,Red,Wide,138 mm,Vincent Chase Online,VC E15066,eyeframe,2906,4.9,734,0,1700,1700
212018,https://www.lenskart.com/lenskart-lk-e-16261-c1-eyeglasses.html,Red,5-8 yrs,122 mm,Hooper,LK E16261,eyeframe,1173,0.0,506,0,2000,2000
213267,https://www.lenskart.com/vincent-chase-vc-s16551-c2-sunglasses.html,Gunmetal,Extra Narrow,127 mm,Vincent Chase Polarized,VC S16551,sunglasses,169,0.0,1365,0,2000,2000
148065,https://www.lenskart.com/vincent-chase-vc-s13980-c2-sunglasses.html,Black,Wide,143 mm,Vincent Chase Polarized,VC S13980,sunglasses,7341,4.6,4122,2113,2000,2000
151068,https://www.lenskart.com/vincent-chase-vc-s14462-c3-sunglasses.html,Black,Medium,139 mm,Vincent Chase Polarized,VC S14462,sunglasses,12273,5.0,589,378,2000,2000
206786,https://www.lenskart.com/john-jacobs-jj-e11545-c6-eyeglasses.html,Black,Wide,139 mm,John Jacobs Online,JJ E11545,eyeframe,1080,4.55,2040,0,3500,3500
207361,https://www.lenskart.com/vincent-chase-vc-e15474-c1-eyeglasses.html,Gunmetal Black,Medium,137 mm,Vincent Chase,VC E15474,eyeframe,3391,0.0,94,0,1700,1700
207364,https://www.lenskart.com/vincent-chase-vc-e15475-c2-eyeglasses.html,Blue,Wide,138 mm,Vincent Chase,VC E15475,eyeframe,3176,5.0,298,0,1700,1700
207657,https://www.lenskart.com/vincent-chase-vc-e15506-c2-eyeglasses.html,Brown,Narrow,132 mm,Vincent Chase,VC E15506,eyeframe,2601,0.0,7,0,2000,2000
208212,https://www.lenskart.com/vincent-chase-vc-e15585-c2-eyeglasses.html,Gold,Narrow,132 mm,Vincent Chase Online,VC E15585,eyeframe,2953,3.0,3,0,1700,1700
210295,https://www.lenskart.com/vincent-chase-vc-e11262-c111-eyeglasses.html,Black,Narrow,132 mm,Vincent Chase,VC E11262,eyeframe,171,0.0,1725,0,1700,1700
212613,https://www.lenskart.com/vincent-chase-vc-s16414-c1-sunglasses.html,Transparent,Extra Wide,146 mm,Vincent Chase Polarized,VC S16414,sunglasses,699,0.0,400,0,1500,1500
137740,https://www.lenskart.com/grey-silver-full-rim-round-john-jacobs-rich-acetate-jj-e12983-c2-eyeglasses.html,Green,Medium,134 mm,John Jacobs,JJ E12983,eyeframe,5514,3.85,305,1979,3500,3500
144905,https://www.lenskart.com/aqua-color-honey-brown-monthly-color-2-lenses-box.html,,,,Aquacolor,Aquacolor Honey Brown Zero Power Monthly,contact_lens,2536,0.0,49970,215,900,499
149421,https://www.lenskart.com/john-jacobs-jj-e12740-c5-eyeglasses.html,Silver,Wide,138 mm,John Jacobs,JJ E12740,eyeframe,2390,4.2,88,717,5000,5000
200236,https://www.lenskart.com/lenskart-air-la-e14802-c4-eyeglasses.html,Black,Wide,140 mm,Lenskart Air,LA E14802,eyeframe,3569,5.0,138,0,2000,2000
201329,https://www.lenskart.com/lenskart-air-la-e13066-c4-eyeglasses.html,Purple,Narrow,130 mm,Lenskart Air,LA E13066,eyeframe,2277,4.65,1646,0,1700,1700
207656,https://www.lenskart.com/vincent-chase-vc-e15506-c1-eyeglasses.html,Gunmetal,Narrow,132 mm,Vincent Chase,VC E15506,eyeframe,2849,0.0,1,0,2000,2000
212294,https://www.lenskart.com/vincent-chase-vc-s16336-c1-sunglasses.html,Pink,Wide,141 mm,Vincent Chase Polarized,VC S16336,sunglasses,857,0.0,731,0,2000,2000
212312,https://www.lenskart.com/vincent-chase-vc-s-16342-c2-sunglass.html,Brown,Medium,140 mm,Vincent Chase Polarized,VC S16342,sunglasses,867,0.0,1036,0,2000,2000
212360,https://www.lenskart.com/john-jacobs-jj-e16356-c2-eyeglasses.html,Gunmetal,Extra Wide,146 mm,John Jacobs,JJ E16356,eyeframe,542,0.0,488,0,5000,5000
213251,https://www.lenskart.com/vincent-chase-vc-s16545-c1-sunglasses.html,Silver,Narrow,131 mm,Vincent Chase Polarized,VC S16545,sunglasses,198,0.0,1221,0,1500,1500
146800,https://www.lenskart.com/john-jacobs-jj-e13794-c1-eyeglasses.html,Brown,Medium,136 mm,John Jacobs,JJ E13794,eyeframe,1773,4.45,811,1939,3500,3500
148596,https://www.lenskart.com/john-jacobs-jj-e14055-c1-eyeglasses.html,Transparent,Narrow,132 mm,John Jacobs,JJ E14055,eyeframe,2253,5.0,530,434,3500,3500
148761,https://www.lenskart.com/lenskart-blu-lb-e14067-c4-eyeglasses.html,Grey,Medium,136 mm,Lenskart Blu,LB E14067,non_power_reading,7560,4.5,792,4154,2000,2000
146258,https://www.lenskart.com/john-jacobs-jj-e13732-full-rim-c2-eyeglasses.html,Blue,Medium,134 mm,John Jacobs,JJ E13732,eyeframe,4681,4.3,495,5533,3500,3500
148705,https://www.lenskart.com/lenskart-blu-lb-e14058-c4-eyeglasses.html,Green,Wide,139 mm,Lenskart Blu,LB E14058,non_power_reading,10793,4.6,242,2508,1500,1500
149409,https://www.lenskart.com/john-jacobs-jj-e12739-c3-eyeglasses.html,Black,Extra Wide,143 mm,John Jacobs,JJ E12739,eyeframe,2979,4.5,132,320,5000,5000
151517,https://www.lenskart.com/vincent-chase-vc-s14525-c3-sunglasses.html,Tortoise,Wide,145 mm,Vincent Chase,VC S14525,sunglasses,3142,4.6,1507,100,1500,1500
207746,https://www.lenskart.com/vincent-chase-vc-s15522-c2-sunglasses.html,Gold,Narrow,134 mm,Vincent Chase Polarized,VC S15522,sunglasses,3103,0.0,1958,0,2000,2000
208237,https://www.lenskart.com/vincent-chase-vc-e15589-c1-eyeglasses.html,Green,Wide,138 mm,Vincent Chase,VC E15589,eyeframe,2499,4.0,4,0,1700,1700
209432,https://www.lenskart.com/john-jacobs-jj-s15783-c3-sunglasses.html,Green,Extra Wide,142 mm,John Jacobs,JJ S15783,sunglasses,525,0.0,553,0,5000,5000
214480,https://www.lenskart.com/vincent-chase-vc-e13046-m-c5-eyeglasses.html,Blue,Medium,134 mm,Vincent Chase,VC E13046-M,eyeframe,208,0.0,3421,0,1700,1700
152669,https://www.lenskart.com/john-jacobs-jj-e14687-c3-eyeglasses.html,Gold,Narrow,132 mm,John Jacobs,JJ E14687,eyeframe,3752,5.0,486,44,5000,5000
205348,https://www.lenskart.com/lenskart-lk-e15163-c2-eyeglasses.html,Silver,Medium,137 mm,Lenskart STUDIO,LK E15163,eyeframe,4762,0.0,79,0,2000,2000
206021,https://www.lenskart.com/lenskart-air-la-e15258-c1-eyeglasses.html,Grey Transparent,Extra Narrow,127 mm,Lenskart Air Online,LA E15258,eyeframe,1504,0.0,136,0,1700,1700
206912,https://www.lenskart.com/vincent-chase-vc-s15430-c3-sunglasses.html,Grey,Wide,144 mm,Vincent Chase Online,VC S15430,sunglasses,2333,0.0,174,0,1500,1500
210502,https://www.lenskart.com/vincent-chase-vc-e11803-c15-eyeglasses.html,Black,Narrow,130 mm,Vincent Chase,VC E11803,eyeframe,2501,0.0,48,0,1700,1700
211334,https://www.lenskart.com/vincent-chase-vc-s16143-c4-sunglasses.html,Brown,Wide,141 mm,Vincent Chase Polarized,VC S16143,sunglasses,628,0.0,784,0,1500,1500
211915,https://www.lenskart.com/lenskart-blu-lb-e16226-cc3-eyeglasses.html,Blue,Wide,141 mm,Lenskart Blu,LB E16226,non_power_reading,231,0.0,1260,0,2000,2000
213237,https://www.lenskart.com/vincent-chase-vc-s16538-c1-sunglasses.html,Silver,Wide,144 mm,Vincent Chase Polarized,VC S16538,sunglasses,167,0.0,1245,0,1500,1500
149209,https://www.lenskart.com/john-jacobs-jj-e14147-c1-c1-eyeglasses.html,Grey,Extra Wide,144 mm,John Jacobs,JJ E14147 ,eyeframe,4032,5.0,1389,112,5000,5000
204357,https://www.lenskart.com/hooper-hp-e10061s-c5-eyeglasses.html,Pink,2-5 yrs,110 mm,Hooper online,HP E10061S,eyeframe,1678,5.0,13,0,1000,1000
206802,https://www.lenskart.com/john-jacobs-jj-e13912-c6-eyeglasses.html,Gold,Narrow,132 mm,John Jacobs,JJ E13912,eyeframe,1494,0.0,1,0,5000,5000
208971,https://www.lenskart.com/opti-free-pure-moist-contact-lens-solution-new.html,,,,Alcon,Opti-Free Pure Moist Contact Lens Solution 300 ml,contact_lens_solution,3756,0.0,109,0,632,599
209743,https://www.lenskart.com/vincent-chase-vc-e15842-c3-eyeglasses.html,Black,Extra Narrow,129 mm,Vincent Chase,VC E15842,eyeframe,1702,0.0,573,0,2000,2000
212017,https://www.lenskart.com/lenskart-lk-e-16260-c1-eyeglasses.html,Yellow,8-12 yrs,125 mm,Hooper,LK E16260,eyeframe,949,0.0,300,0,2000,2000
213270,https://www.lenskart.com/vincent-chase-vc-s16552-c2-sunglasses.html,Gold,Extra Narrow,130 mm,Vincent Chase Polarized,VC S16552,sunglasses,189,0.0,1031,0,2000,2000
144892,https://www.lenskart.com/aqua-color-black-rose-dailies-color-10-lenses-box-plano-145037.html,,,,Aquacolor,Aquacolor Black Rose Zero Power Daily,contact_lens,1183,0.0,49993,144,900,599
148039,https://www.lenskart.com/vincent-chase-vc-s13973-c1-sunglasses.html,Black,Wide,145 mm,Vincent Chase Polarized,VC S13973,sunglasses,14986,4.7,12998,1581,1500,1500
